iter	RMSE
0	13.98475025
1	12.89218585
2	12.00080264
3	11.2273257
4	10.44070641
5	9.771006818
6	9.239239521
7	8.676864007
8	8.21353697
9	7.738107851
10	7.338376404
11	6.917710801
12	6.575133901
13	6.250110636
14	5.998140333
15	5.746638963
16	5.514008414
17	5.31507536
18	5.133574035
19	4.970706842
20	4.805760271
21	4.681937416
22	4.568260802
23	4.459273091
24	4.368622427
25	4.302382972
26	4.223335591
27	4.157023778
28	4.101199701
29	4.050212143
30	3.999275877
31	3.95520751
32	3.914519747
33	3.883831899
34	3.846482324
35	3.819264568
36	3.790815057
37	3.765209322
38	3.737450512
39	3.705855016
40	3.677276285
41	3.652483565
42	3.635862966
43	3.617964039
44	3.602063279
45	3.580100796
46	3.565447022
47	3.552290067
48	3.541253399
49	3.527626992
50	3.51422795
51	3.503796811
52	3.490291427
53	3.479543925
54	3.467505358
55	3.458391705
56	3.448216184
57	3.43607771
58	3.428166313
59	3.422940909
60	3.413386615
61	3.403985668
62	3.391201694
63	3.380982183
64	3.375352582
65	3.369028748
66	3.362999483
67	3.358049078
68	3.349999235
69	3.344481209
70	3.339084981
71	3.33270701
72	3.326137118
73	3.318169533
74	3.315033696
75	3.311001017
76	3.306824698
77	3.302522399
78	3.299358174
79	3.294472309
80	3.288006962
81	3.285285528
82	3.284051549
83	3.279344523
84	3.273932567
85	3.271981181
86	3.270433241
87	3.260957171
88	3.259650978
89	3.258467928
90	3.256217594
91	3.254380314
92	3.246613731
93	3.245237008
94	3.236636854
95	3.230882148
96	3.223968101
97	3.222243788
98	3.214597989
99	3.21287617
100	3.20627089
101	3.200211223
102	3.199409647
103	3.197188903
104	3.19027944
105	3.184618832
106	3.182331507
107	3.174990328
108	3.174068351
109	3.17343825
110	3.165770977
111	3.165208373
112	3.164059362
113	3.159552087
114	3.1503222
115	3.149212758
116	3.141866404
117	3.136479953
118	3.130206533
119	3.126185853
120	3.119888094
121	3.116019686
122	3.110367345
123	3.104032382
124	3.097987598
125	3.097230753
126	3.091284906
127	3.087069532
128	3.081285774
129	3.080259298
130	3.075059374
131	3.071177389
132	3.069986601
133	3.06538395
134	3.059777419
135	3.056709948
136	3.053448457
137	3.044559443
138	3.041988911
139	3.036116925
140	3.031762814
141	3.025381756
142	3.020624667
143	3.015427961
144	3.013814527
145	3.01177853
146	3.008011819
147	3.003726926
148	3.003279384
149	3.000930203
150	2.996530349
151	2.994056219
152	2.988468111
153	2.988163381
154	2.983297336
155	2.978516729
156	2.973907019
157	2.970309758
158	2.966738862
159	2.964504057
160	2.963534482
161	2.961146754
162	2.959241255
163	2.956199314
164	2.951400267
165	2.949178034
166	2.946582714
167	2.944103652
168	2.940188068
169	2.935185584
170	2.930163091
171	2.927949204
172	2.923490011
173	2.91804673
174	2.916223889
175	2.915187586
176	2.913089202
177	2.910933168
178	2.910703628
179	2.907370942
180	2.904158931
181	2.899811355
182	2.896078086
183	2.893374571
184	2.890312535
185	2.88668674
186	2.884078607
187	2.881538844
188	2.879958262
189	2.878541956
190	2.873777386
191	2.87047573
192	2.865368436
193	2.863151069
194	2.855932311
195	2.853149305
196	2.85284681
197	2.850052198
198	2.846541079
199	2.844004613
200	2.841924254
201	2.840011811
202	2.837820754
203	2.833179332
204	2.832334237
205	2.830213235
206	2.826132718
207	2.822229836
208	2.818228219
209	2.81658246
210	2.813629604
211	2.81342497
212	2.811806488
213	2.807519138
214	2.803890095
215	2.801287346
216	2.799053562
217	2.796067557
218	2.794114882
219	2.793411785
220	2.791380979
221	2.787115281
222	2.784026382
223	2.781744385
224	2.77994668
225	2.774857987
226	2.771208926
227	2.768302005
228	2.76624231
229	2.760527789
230	2.758826083
231	2.755274168
232	2.754649299
233	2.751516595
234	2.750256954
235	2.747106219
236	2.745775724
237	2.74193728
238	2.738849979
239	2.73507879
240	2.733047403
241	2.728829789
242	2.727626102
243	2.724830332
244	2.718375556
245	2.714686499
246	2.712243262
247	2.710614666
248	2.70729229
249	2.706404079
