iter	Passed	Remaining
0	1	1610
1	2	1384
2	3	1294
3	5	1245
4	6	1216
5	7	1195
6	8	1180
7	9	1169
8	10	1161
9	11	1166
10	12	1164
11	14	1158
12	15	1152
13	16	1147
14	17	1142
15	18	1141
16	19	1137
17	20	1135
18	21	1132
19	23	1131
20	24	1128
21	25	1124
22	26	1125
23	27	1122
24	28	1119
25	29	1117
26	30	1114
27	32	1111
28	33	1108
29	34	1106
30	35	1103
31	36	1102
32	37	1100
33	38	1099
34	39	1097
35	40	1096
36	42	1094
37	43	1093
38	44	1092
39	45	1090
40	46	1089
41	47	1087
42	48	1086
43	49	1084
44	51	1083
45	52	1084
46	53	1082
47	54	1081
48	56	1088
49	57	1087
50	58	1085
51	59	1090
52	60	1089
53	62	1087
54	63	1085
55	64	1084
56	65	1083
57	66	1081
58	67	1080
59	68	1078
60	70	1078
61	71	1077
62	72	1075
63	73	1074
64	74	1072
65	75	1071
66	76	1069
67	77	1067
68	79	1066
69	80	1064
70	81	1063
71	82	1061
72	83	1059
73	84	1058
74	85	1059
75	87	1058
76	88	1057
77	89	1055
78	90	1054
79	91	1053
80	92	1051
81	93	1049
82	94	1048
83	96	1047
84	97	1045
85	98	1044
86	99	1043
87	100	1041
88	101	1037
89	102	1036
90	103	1034
91	104	1033
92	105	1032
93	106	1030
94	108	1029
95	109	1028
96	110	1026
97	110	1019
98	111	1018
99	113	1017
100	114	1016
101	115	1015
102	116	1014
103	117	1012
104	118	1011
105	119	1010
106	120	1009
107	122	1007
108	123	1006
109	124	1005
110	125	1004
111	126	1002
112	128	1005
113	129	1009
114	132	1017
115	133	1016
116	134	1015
117	135	1014
118	136	1012
119	137	1011
120	139	1010
121	140	1009
122	142	1013
123	143	1012
124	144	1011
125	145	1010
126	146	1009
127	148	1008
128	149	1008
129	150	1008
130	151	1006
131	152	1005
132	154	1005
133	155	1005
134	156	1005
135	158	1003
136	159	1002
137	160	1001
138	161	1000
139	162	998
140	163	997
141	164	995
142	165	994
143	167	992
144	168	991
145	169	990
146	170	988
147	171	987
148	172	982
149	173	981
150	174	979
151	175	978
152	176	977
153	177	975
154	178	974
155	180	975
156	181	976
157	183	977
158	184	976
159	185	975
160	186	973
161	187	972
162	189	970
163	190	969
164	191	968
165	192	966
166	193	965
167	194	963
168	195	962
169	196	960
170	198	960
171	199	958
172	200	957
173	201	956
174	202	954
175	203	953
176	204	952
177	205	950
178	206	949
179	208	947
180	209	946
181	210	944
182	211	944
183	212	943
184	213	942
185	215	941
186	216	939
187	217	938
188	218	937
189	219	935
190	220	934
191	221	932
192	222	931
193	223	930
194	225	929
195	226	928
196	227	926
197	228	925
198	229	924
199	230	922
200	231	921
201	232	920
202	233	917
203	234	916
204	235	915
205	237	913
206	238	912
207	239	910
208	240	909
209	241	908
210	242	907
211	243	905
212	244	904
213	246	903
214	247	902
215	248	901
216	249	899
217	249	896
218	251	895
219	252	894
220	253	892
221	254	891
222	256	894
223	258	895
224	259	894
225	260	893
226	262	892
227	263	890
228	264	889
229	265	888
230	266	886
231	267	885
232	268	885
233	270	884
234	271	882
235	272	881
236	273	880
237	274	879
238	275	877
239	276	876
240	277	875
241	279	873
242	280	872
243	281	871
244	282	869
245	283	868
246	285	869
247	286	869
248	288	869
249	289	867
250	290	866
