iter	Passed	Remaining
0	1	1752
1	3	1655
2	4	1589
3	6	1550
4	7	1548
5	9	1567
6	13	1948
7	14	1852
8	16	1774
9	17	1710
10	18	1658
11	19	1613
12	20	1574
13	21	1540
14	23	1521
15	24	1495
16	27	1604
17	29	1584
18	30	1559
19	31	1535
20	32	1514
21	33	1494
22	34	1476
23	35	1459
24	37	1444
25	38	1435
26	39	1424
27	43	1499
28	44	1487
29	45	1473
30	46	1460
31	47	1447
32	48	1435
33	50	1424
34	51	1413
35	53	1427
36	54	1419
37	55	1409
38	58	1433
39	59	1425
40	63	1493
41	65	1484
42	66	1474
43	67	1464
44	68	1461
45	70	1465
46	71	1456
47	73	1447
48	74	1439
49	77	1464
50	78	1456
51	79	1448
52	80	1439
53	81	1431
54	82	1425
55	84	1417
56	85	1410
57	86	1403
58	87	1396
59	88	1389
60	89	1383
61	92	1405
62	94	1399
63	95	1393
64	96	1390
65	97	1384
66	99	1379
67	100	1373
68	101	1367
69	102	1361
70	103	1355
71	104	1349
72	108	1372
73	109	1368
74	110	1363
75	112	1364
76	115	1379
77	116	1379
78	118	1377
79	119	1376
80	124	1407
81	125	1402
82	126	1397
83	127	1394
84	129	1392
85	130	1389
86	132	1386
87	133	1384
88	134	1378
89	139	1407
90	142	1418
91	143	1418
92	145	1417
93	146	1414
94	148	1411
95	149	1407
96	150	1404
97	152	1406
98	155	1415
99	164	1478
100	166	1478
101	173	1523
102	177	1544
103	179	1544
104	180	1540
105	182	1536
106	185	1544
107	194	1606
108	196	1603
109	197	1598
110	199	1597
111	204	1623
112	206	1621
113	208	1618
114	210	1617
115	211	1613
116	213	1608
117	217	1624
118	219	1622
119	221	1622
120	222	1618
121	224	1614
122	225	1609
123	227	1605
124	228	1600
125	233	1620
126	235	1616
127	236	1612
128	238	1609
129	239	1604
130	241	1600
131	242	1596
132	244	1591
133	253	1638
134	255	1635
135	256	1631
136	258	1627
137	259	1622
138	263	1632
139	265	1630
140	267	1628
141	268	1624
142	270	1620
143	271	1615
144	273	1611
145	274	1606
146	276	1602
147	280	1616
148	281	1607
149	283	1607
150	285	1603
151	286	1599
152	288	1594
153	289	1592
154	291	1588
155	295	1597
156	297	1594
157	299	1593
158	300	1590
159	302	1586
160	303	1582
161	305	1579
162	306	1575
163	310	1583
164	312	1579
165	314	1577
166	315	1574
167	317	1570
168	318	1567
169	320	1563
170	321	1559
171	325	1567
172	327	1565
173	328	1561
174	330	1558
175	332	1554
176	333	1552
177	335	1548
178	336	1545
179	340	1550
180	342	1548
181	343	1545
182	345	1543
183	356	1582
184	359	1582
185	360	1579
186	362	1575
187	364	1572
188	365	1569
189	367	1564
190	368	1560
191	372	1567
192	374	1563
193	375	1559
194	377	1556
195	378	1552
196	379	1548
197	381	1545
198	382	1541
199	384	1538
200	388	1544
201	390	1540
202	391	1536
203	392	1532
204	397	1540
205	399	1538
206	403	1545
207	405	1542
208	407	1542
209	408	1538
210	410	1534
211	411	1530
212	413	1526
213	414	1524
214	419	1531
215	421	1528
216	422	1525
217	423	1518
218	424	1515
219	427	1516
220	429	1513
221	430	1509
222	435	1516
223	436	1513
224	438	1509
225	439	1505
226	440	1501
227	442	1497
228	443	1493
229	445	1489
230	446	1485
231	454	1504
232	456	1502
233	458	1499
234	462	1504
235	466	1509
236	467	1506
237	469	1502
238	470	1498
239	471	1494
240	473	1491
241	475	1490
242	477	1487
243	481	1492
244	483	1491
245	485	1487
246	486	1483
247	488	1481
248	489	1477
249	491	1473
250	500	1493
251	502	1491
252	503	1487
253	505	1484
254	507	1481
255	508	1477
256	509	1474
257	511	1472
258	513	1468
259	514	1465
260	516	1461
261	517	1457
262	518	1453
263	520	1451
264	522	1448
265	527	1454
266	528	1451
267	530	1448
268	531	1444
269	533	1441
270	534	1437
271	535	1433
272	536	1429
273	538	1426
274	546	1440
275	548	1438
276	562	1468
277	564	1465
278	565	1462
279	567	1458
280	568	1454
281	570	1451
282	575	1458
283	576	1454
284	578	1452
285	580	1449
286	581	1445
287	583	1442
288	584	1439
289	589	1443
290	590	1439
291	592	1436
292	593	1432
293	595	1429
294	596	1425
295	598	1423
296	599	1419
297	601	1416
298	605	1419
299	606	1415
300	608	1413
301	610	1410
302	611	1406
303	612	1403
304	614	1400
305	615	1396
306	620	1400
307	622	1398
308	623	1394
309	625	1392
310	627	1389
311	629	1387
312	631	1385
313	632	1381
314	637	1386
315	639	1384
316	641	1382
317	643	1379
318	644	1376
319	646	1373
320	647	1370
321	652	1373
322	653	1370
323	656	1368
324	657	1365
325	658	1362
326	660	1359
327	662	1356
328	666	1360
329	668	1357
330	670	1354
331	671	1351
332	673	1348
333	674	1345
334	676	1342
335	678	1340
336	684	1345
337	685	1342
338	689	1343
339	691	1341
340	692	1339
341	694	1336
342	698	1338
343	703	1340
344	704	1338
345	706	1335
346	707	1332
347	709	1329
348	716	1337
349	721	1339
350	722	1336
351	724	1333
352	730	1338
353	731	1335
354	734	1334
355	739	1338
356	749	1350
357	751	1348
358	753	1345
359	754	1341
360	757	1339
361	763	1344
362	764	1341
363	766	1339
364	768	1336
365	769	1333
366	771	1329
367	772	1326
368	778	1331
369	780	1328
370	782	1325
371	783	1323
372	785	1320
373	787	1317
374	792	1320
375	795	1321
376	797	1317
377	799	1314
378	800	1311
379	802	1308
380	803	1305
381	817	1322
382	819	1319
383	825	1324
384	827	1321
385	828	1318
386	830	1315
387	832	1313
388	834	1310
389	835	1307
390	842	1311
391	844	1310
392	846	1308
393	848	1305
394	850	1302
395	855	1305
396	857	1302
397	861	1303
398	863	1300
399	864	1297
400	866	1294
401	871	1296
402	873	1293
403	874	1290
404	876	1287
405	878	1285
406	880	1282
407	881	1279
408	888	1284
409	890	1281
410	892	1278
411	893	1275
412	896	1273
413	904	1280
414	906	1277
415	907	1274
416	909	1271
417	910	1268
418	912	1265
419	916	1266
420	918	1263
421	920	1260
422	921	1257
423	923	1254
424	925	1252
425	927	1249
426	930	1248
427	932	1245
428	933	1242
429	936	1241
430	938	1238
431	939	1235
432	941	1232
433	943	1229
434	947	1230
